Round,Argentina,Australia,Belgium,Brazil,Bulgaria,Canada,China,Czechoslovakia,Denmark,Egypt,England,France,Greece,Hungary,India,Iran,Iraq,Israel,Italy,Mexico,Norway,Netherlands,Pakistan,Philippines,Poland,Rumania,USSR,South Africa,Saudi Arabia,Spain,Sweden,Syria,Thailand,Turkey,USA,Yugoslavia
24,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
25,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
26,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
27,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
28,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
29,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
30,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
31,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
32,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
33,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
34,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
35,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
36,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
37,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
38,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
39,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
40,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
41,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
42,1.0,0.9891308040556153,0.9646344543055134,0.9559121522722479,0.968297966991852,0.8920138603285155,0.5907559056400473,0.6166568108895645,0.6145679266769389,0.613331529137052,0.572491082321077,0.5554972992543776,0.552483298457419,0.5505812349395935,0.5368602269041518,0.5344284826793204,0.5326694833829955,0.5317808972870729,0.5183295889179607,0.5146831117174485,0.5118306092548066,0.5084835758249138,0.4991237593579431,0.4596219182397344,0.43808033775989336,0.39349664377407445,0.34841691041420536,0.3584586817063341,0.3603344723741989,0.34289601680239523,0.33849916285782433,0.2290264134528125,0.3127936038286384,0.31451629456432845,0.6359838203130893,0.7999738996426184
